abundance,year,latitude,longitude,genus,species,genus_species,region,mean_summer_sst_degC
1,2003,23.5,119.5,Acanthocepola,limbata,Acanthocepola_limbata,Tropical,27.9170010884603
30,2001,22.5,120.5,Acropoma,hanedai,Acropoma_hanedai,Tropical,29.082668304443366
7,2001,22.5,120.5,Acropoma,hanedai,Acropoma_hanedai,Tropical,29.082668304443366
4,2001,22.5,120.5,Acropoma,hanedai,Acropoma_hanedai,Tropical,29.082668304443366
2,2001,22.5,120.5,Acropoma,japonicum,Acropoma_japonicum,Tropical,29.082668304443366
578,2001,22.5,120.5,Acropoma,japonicum,Acropoma_japonicum,Tropical,29.082668304443366
3,2001,22.5,120.5,Acropoma,japonicum,Acropoma_japonicum,Tropical,29.082668304443366
3,2001,22.5,120.5,Acropoma,japonicum,Acropoma_japonicum,Tropical,29.082668304443366
1,2001,22.5,120.5,Acropoma,japonicum,Acropoma_japonicum,Tropical,29.082668304443366
44,2001,22.5,120.5,Acropoma,japonicum,Acropoma_japonicum,Tropical,29.082668304443366
1,2001,22.5,120.5,Aesopia,cornuta,Aesopia_cornuta,Tropical,29.082668304443366
1,2003,23.5,119.5,Alectis,ciliaris,Alectis_ciliaris,Tropical,27.9170010884603
1,2003,23.5,119.5,Amblyapistus,sp,Amblyapistus_sp,Tropical,27.9170010884603
1,2003,23.5,119.5,Antennarius,sp,Antennarius_sp,Tropical,27.9170010884603
1,2001,22.5,120.5,Antennarius,striatus,Antennarius_striatus,Tropical,29.082668304443366
2,2003,23.5,119.5,Apistus,carinatus,Apistus_carinatus,Tropical,27.9170010884603
1,2003,23.5,119.5,Apistus,carinatus,Apistus_carinatus,Tropical,27.9170010884603
1,2003,23.5,119.5,Aploactis,aspera,Aploactis_aspera,Tropical,27.9170010884603
20,2003,23.5,119.5,Apogon,doederleini,Apogon_doederleini,Tropical,27.9170010884603
10,2001,22.5,120.5,Apogon,ellioti,Apogon_ellioti,Tropical,29.082668304443366
1,2001,22.5,120.5,Apogon,ellioti,Apogon_ellioti,Tropical,29.082668304443366
1,2003,23.5,119.5,Apogon,ellioti,Apogon_ellioti,Tropical,27.9170010884603
7,2001,22.5,120.5,Apogon,fasciatus,Apogon_fasciatus,Tropical,29.082668304443366
2,2003,23.5,119.5,Apogon,fasciatus,Apogon_fasciatus,Tropical,27.9170010884603
11,2001,22.5,120.5,Apogon,kiensis,Apogon_kiensis,Tropical,29.082668304443366
4,2001,22.5,120.5,Apogon,kiensis,Apogon_kiensis,Tropical,29.082668304443366
30,2001,22.5,120.5,Apogon,kiensis,Apogon_kiensis,Tropical,29.082668304443366
45,2003,23.5,119.5,Apogon,kiensis,Apogon_kiensis,Tropical,27.9170010884603
1,2003,23.5,119.5,Apogon,kiensis,Apogon_kiensis,Tropical,27.9170010884603
2,2003,23.5,119.5,Apogon,kiensis,Apogon_kiensis,Tropical,27.9170010884603
14,2003,23.5,119.5,Apogon,kiensis,Apogon_kiensis,Tropical,27.9170010884603
2,2003,23.5,119.5,Apogon,kiensis,Apogon_kiensis,Tropical,27.9170010884603
1,2003,23.5,119.5,Apogon,kiensis,Apogon_kiensis,Tropical,27.9170010884603
1,2001,22.5,120.5,Apogon,lineatus,Apogon_lineatus,Tropical,29.082668304443366
36,2003,23.5,119.5,Apogon,semilineatus,Apogon_semilineatus,Tropical,27.9170010884603
3,2003,23.5,119.5,Apogon,semilineatus,Apogon_semilineatus,Tropical,27.9170010884603
1,2003,23.5,119.5,Apogon,semilineatus,Apogon_semilineatus,Tropical,27.9170010884603
8,2001,22.5,120.5,Apogon,striatus,Apogon_striatus,Tropical,29.082668304443366
2,2001,22.5,120.5,Apogon,striatus,Apogon_striatus,Tropical,29.082668304443366
10,2001,22.5,120.5,Apogon,striatus,Apogon_striatus,Tropical,29.082668304443366
15,2001,22.5,120.5,Apogon,striatus,Apogon_striatus,Tropical,29.082668304443366
34,2003,23.5,119.5,Apogon,striatus,Apogon_striatus,Tropical,27.9170010884603
1,2003,23.5,119.5,Apogon,striatus,Apogon_striatus,Tropical,27.9170010884603
3,2003,23.5,119.5,Apogon,striatus,Apogon_striatus,Tropical,27.9170010884603
1,2003,23.5,119.5,Apogon,striatus,Apogon_striatus,Tropical,27.9170010884603
18,2003,23.5,119.5,Apogonichthyoides,niger,Apogonichthyoides_niger,Tropical,27.9170010884603
9,2003,23.5,119.5,Apogonichthyoides,niger,Apogonichthyoides_niger,Tropical,27.9170010884603
2,2003,23.5,119.5,Apogonichthyoides,niger,Apogonichthyoides_niger,Tropical,27.9170010884603
1,2003,23.5,119.5,Apogonichthyoides,niger,Apogonichthyoides_niger,Tropical,27.9170010884603
5,2003,23.5,119.5,Apogonichthyoides,niger,Apogonichthyoides_niger,Tropical,27.9170010884603
17,2003,23.5,119.5,Apogonichthyoides,niger,Apogonichthyoides_niger,Tropical,27.9170010884603
3,2003,23.5,119.5,Apogonichthyoides,niger,Apogonichthyoides_niger,Tropical,27.9170010884603
1,2001,22.5,120.5,Archamia,sp,Archamia_sp,Tropical,29.082668304443366
1,2001,22.5,120.5,Ateleopus,japonicus,Ateleopus_japonicus,Tropical,29.082668304443366
2,2001,22.5,120.5,Atrobucca,nibe,Atrobucca_nibe,Tropical,29.082668304443366
3,2001,22.5,120.5,Atrobucca,nibe,Atrobucca_nibe,Tropical,29.082668304443366
