abundance,year,genus,species,genus_species,fishbase_name,region,temp_min,temp_max,latitude,longitude,mean_summer_sst_degC
1,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2691,-64.7257,28.722001393636067
1,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.27,-64.7264,28.496334075927734
1,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2703,-64.7208,28.496334075927734
7,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2709,-64.7231,28.722001393636067
3,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2712,-64.7188,28.371667226155633
5,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2716,-64.7181,28.722001393636067
1,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.272,-64.7154,29.162668228149432
9,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2727,-64.7156,28.371667226155633
1,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2731,-64.7129,28.496334075927734
5,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2734,-64.7132,28.722001393636067
1,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2737,-64.7112,28.496334075927734
19,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2742,-64.7092,28.371667226155633
1,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2746,-64.7063,28.2163340250651
1,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.275,-64.7486,28.2163340250651
3,2002,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.275,-64.7084,28.010334014892567
2,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.275,-64.7077,27.95200157165523
11,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2751,-64.7067,28.722001393636067
4,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2751,-64.7084,28.371667226155633
2,2008,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2754,-64.7461,28.496334075927734
4,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2765,-64.7028,28.371667226155633
1,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2773,-64.7438,27.95200157165523
1,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2795,-64.6987,28.5100015004476
1,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2798,-64.6989,28.371667226155633
1,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2801,-64.7,28.5100015004476
8,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2804,-64.6996,28.984334309895832
1,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2806,-64.6981,29.162668228149432
5,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2806,-64.6986,28.371667226155633
1,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2806,-64.695,28.984334309895832
1,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2809,-64.6938,28.371667226155633
1,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.281,-64.6982,28.722001393636067
3,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2813,-64.6967,27.95200157165523
2,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2815,-64.7001,29.162668228149432
5,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2816,-64.6962,28.722001393636067
10,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2817,-64.6944,28.2163340250651
2,2005,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2818,-64.701,28.984334309895832
2,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2819,-64.6945,27.95200157165523
7,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.282,-64.7001,28.371667226155633
1,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.282,-64.6899,28.371667226155633
5,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2821,-64.6982,28.5100015004476
4,2002,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2822,-64.6943,28.010334014892567
5,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2823,-64.6899,29.162668228149432
3,2007,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2824,-64.6933,28.722001393636067
4,2010,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2824,-64.6938,29.162668228149432
3,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2826,-64.6924,27.95200157165523
6,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2826,-64.688,28.5100015004476
4,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2827,-64.6968,27.95200157165523
5,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.283,-64.6871,28.371667226155633
3,2006,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2836,-64.6866,28.5100015004476
3,2009,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2838,-64.6869,28.371667226155633
2,2004,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2844,-64.6861,28.2163340250651
4,2003,Acanthurus,chirurgus,Acanthurus_chirurgus,Acanthurus chirurgus,Tropical,22,25,18.2845,-64.6849,27.95200157165523
