abundance,year,latitude,longitude,region,th_genus_species,sp_id,input_name,phylum,order,class,family,genus,species,tmax,tmin,n,lat,long,mean_summer_sst_degC
13,2003,41.494749,-68.411251,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
9,2006,44.364,-58.158751,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
7,1995,43.970749,-67.299328,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
7,2009,44.123415,-61.249081,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2002,44.005665,-59.1525,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
14,2002,43.256836,-63.286251,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2009,43.931416,-63.419415,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2000,44.887836,-66.152084,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2005,42.806915,-65.238079,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
24,1996,44.716585,-66.940333999999993,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,1996,43.760916,-63.099831,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
7,2004,44.358835,-59.325251,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2007,42.68825,-65.248749,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
9,2005,44.251251,-59.070164,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
25,2005,44.647835,-61.78875,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
20,2009,44.754749,-66.59008,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
12,2001,44.860834,-65.829502,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2003,40.69417,-66.966671,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2009,43.188499,-65.272499,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,1995,43.586334,-62.85758,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
18,2003,41.352501,-68.468674,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
13,2001,42.11817,-67.086586,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
20,2007,45.037498,-60.730579,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
