genus,species,tmax,tmin,phylum,class,order,family,scientific_name_std,n,lat,long,region
Cyprinodon,dearborni,35.7,15,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Cyprinodon dearborni,NA,18,-64.5,Tropical
Rivulus,marmoratus,35.7,15,Chordata,Actinopteri,Cyprinodontiformes,Rivulidae,Kryptolebias marmoratus,NA,18,-64.5,Tropical
Cyprinodon,artifrons,43.7,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Cyprinodon artifrons,11,16.8,-88.1,Tropical
Floridichthys,carpio,42.2,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Floridichthys carpio,8,16.8,-88.1,Tropical
Gambusia,yucatana,42.2,NA,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia yucatana,7,16.8,-88.1,Tropical
Poecilia,sphenops,43,7.5,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poecilia sphenops,20,17.03,-96.5,Tropical
Apogon,dovii,35.9,13.1,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon dovii,NA,2.96,-78.2,Tropical
Apogon,pacifici,34.7,10.8,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon pacificus,NA,2.96,-78.2,Tropical
Bathygobius,ramosus,39.6,11.9,Chordata,Actinopteri,Perciformes,Gobiidae,Bathygobius ramosus,NA,2.96,-78.2,Tropical
Chromis,atrilobata,35.2,11.2,Chordata,Actinopteri,Perciformes,Pomacentridae,Chromis atrilobata,NA,2.96,-78.2,Tropical
Cirrhitichthys,oxycephalus,35.8,11.4,Chordata,Actinopteri,Perciformes,Cirrhitidae,Cirrhitichthys oxycephalus,NA,2.96,-78.2,Tropical
Coryphopterus,urospilus,35.4,12.3,Chordata,Actinopteri,Perciformes,Gobiidae,Coryphopterus urospilus,NA,2.96,-78.2,Tropical
Eucinostomus,gracilis,38,12.4,Chordata,Actinopteri,Perciformes,Gerreidae,Eucinostomus gracilis,NA,2.96,-78.2,Tropical
Haemulon,steindachneri,37.2,13.2,Chordata,Actinopteri,Perciformes,Haemulidae,Haemulon steindachneri,NA,2.96,-78.2,Tropical
Halichoeres,dispilus,35.8,15.6,Chordata,Actinopteri,Perciformes,Labridae,Halichoeres dispilus,NA,2.96,-78.2,Tropical
Lutjanus,guttatus,37.4,12,Chordata,Actinopteri,Perciformes,Lutjanidae,Lutjanus guttatus,NA,2.96,-78.2,Tropical
Malacoctenus,zonifer,38.2,12.5,Chordata,Actinopteri,Perciformes,Labrisomidae,Malacoctenus zonifer,NA,2.96,-78.2,Tropical
Mugil,curema,40.8,10.8,Chordata,Actinopteri,Mugiliformes,Mugilidae,Mugil curema,NA,2.96,-78.2,Tropical
Plagiotremus,azaleus,35.3,13.4,Chordata,Actinopteri,Perciformes,Blenniidae,Plagiotremus azaleus,NA,2.96,-78.2,Tropical
Stegastes,acapulcoensis,37.7,12.6,Chordata,Actinopteri,Perciformes,Pomacentridae,Stegastes acapulcoensis,NA,2.96,-78.2,Tropical
Thalassoma,lucasanum,36,16.3,Chordata,Actinopteri,Perciformes,Labridae,Thalassoma lucasanum,NA,2.96,-78.2,Tropical
Abudefduf,saxatilis,40,10,Chordata,Actinopteri,Perciformes,Pomacentridae,Abudefduf saxatilis,8,9.5,-78,Tropical
Brachyrhaphis,episcopi,40,10,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Brachyrhaphis episcopi,8,9.5,-78,Tropical
Gambusia,nicaraguensis,40,10,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia nicaraguensis,8,9.5,-78,Tropical
Haemulon,bonariense,40,15,Chordata,Actinopteri,Perciformes,Haemulidae,Haemulon bonariense,8,9.5,-78,Tropical
Lutjanus,apodus,40,10,Chordata,Actinopteri,Perciformes,Lutjanidae,Lutjanus apodus,8,9.5,-78,Tropical
Scarus,iseri ,35,10,Chordata,Actinopteri,Perciformes,Labridae,NA,8,9.5,-78,Tropical
Kuhlia,sandvicensis,34,14.1,Chordata,Actinopteri,Perciformes,Kuhliidae,Kuhlia sandvicensis,NA,20,-156.4,Tropical
Bufo,canaliferus,37.3,9.5,Chordata,Amphibia,Anura,Bufonidae,Incilius canaliferus,55,14.58,-90.53,Tropical
Bufo,haemititicus,37.5,9.5,Chordata,Amphibia,Anura,Bufonidae,Rhaebo haematiticus,55,10,-83.7,Tropical
Bufo,marinus,41.8,11,Chordata,Amphibia,Anura,Bufonidae,Bufo naricus,55,9,-79.5,Tropical
Bufo,marmoreus,40.2,7.8,Chordata,Amphibia,Anura,Bufonidae,Incilius marmoreus,55,17,-96.7,Tropical
Craugastor,fleischmanni,31.4,6,Chordata,Amphibia,Anura,Craugastoridae,Craugastor fleischmanni,55,10,-83.7,Tropical
Dendrobates,auratus,34.8,9.5,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates auratus,55,10,-83.5,Tropical
Hyla,walkeri,38.1,-2.2,Chordata,Amphibia,Anura,Hylidae,Hyla walkeri,55,16.75,-92.63,Tropical
Rana,palmipes,36.9,-1,Chordata,Amphibia,Anura,Ranidae,Lithobates palmipes,55,9.75,-83.75,Tropical
Rana,pipiens,35.2,-1.6,Chordata,Amphibia,Anura,Ranidae,Lithobates pipiens,55,16.7,-92.8,Tropical
Rana,warszewitschii,32.8,4.8,Chordata,Amphibia,Anura,Ranidae,Rana warschewitschii,55,10,-83.7,Tropical
Tlalocohyla,smithii,42.5,5,Chordata,Amphibia,Anura,Hylidae,Tlalocohyla smithii,55,22,-104.8,Tropical
Anaxyrus,compactilis,36.9,NA,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus compactilis,55,22,-102,Tropical
Cyclorana,brevipes,40,NA,Chordata,Amphibia,Anura,Hylidae,Litoria brevipes,21,21,145.9,Tropical
Eleutherodactylus,coqui,37.2,7.5,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus coqui,10,18.4,-65.8,Tropical
Eleutherodactylus,portoricensus,36.3,7.5,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus portoricensis,13,18.31,-65.75,Tropical
Hyla,labialis,38.6,NA,Chordata,Amphibia,Anura,Hylidae,Dendropsophus labialis,28,4.38,-74.13,Tropical
Hylarana,erythraea,34.8,NA,Chordata,Amphibia,Anura,Ranidae,Hylarana erythraea,NA,14.09,121.49,Tropical
