tmax,tmin,n,lat,long,region,th_genus_species,sp_id,input_name,phylum,order,class,family,genus,species
35.7,15,NA,18,-64.5,Tropical,Cyprinodon dearborni,GBIF:2347924,Cyprinodon dearborni,Chordata,Cyprinodontiformes,Actinopterygii,Cyprinodontidae,Cyprinodon,dearborni
42.2,NA,7,16.8,-88.1,Tropical,Gambusia yucatana,GBIF:2350647,Gambusia yucatana,Chordata,Cyprinodontiformes,Actinopterygii,Poeciliidae,Gambusia,yucatana
39.6,11.9,NA,2.96,-78.2,Tropical,Bathygobius ramosus,GBIF:2377072,Bathygobius ramosus,Chordata,Perciformes,Actinopterygii,Gobiidae,Bathygobius,ramosus
38,12.4,NA,2.96,-78.2,Tropical,Eucinostomus gracilis,GBIF:2369476,Eucinostomus gracilis,Chordata,Perciformes,Actinopterygii,Gerreidae,Eucinostomus,gracilis
38.2,12.5,NA,2.96,-78.2,Tropical,Malacoctenus zonifer,GBIF:2389494,Malacoctenus zonifer,Chordata,Perciformes,Actinopterygii,Labrisomidae,Malacoctenus,zonifer
36,16.3,NA,2.96,-78.2,Tropical,Thalassoma lucasanum,GBIF:2384480,Thalassoma lucasanum,Chordata,Perciformes,Actinopterygii,Labridae,Thalassoma,lucasanum
40,15,8,9.5,-78,Tropical,Haemulon bonariense,GBIF:2382533,Haemulon bonariense,Chordata,Perciformes,Actinopterygii,Haemulidae,Haemulon,bonariense
23.2,-0.7,NA,52,-128.9,Temperate,Oncorhynchus keta,GBIF:5204014,Oncorhynchus keta,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,keta
40.5,NA,20,37.16,-76.5,Temperate,Fundulus heteroclitus,GBIF:5712056,Fundulus heteroclitus,Chordata,Cyprinodontiformes,Actinopterygii,Fundulidae,Fundulus,heteroclitus
35.1,NA,12,33,-111,Temperate,Catostomus clarkii,GBIF:2359050,Catostomus clarkii,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Catostomus,clarkii
36.6,NA,12,33,-111,Temperate,Gila robusta,GBIF:2360128,Gila robusta,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Gila,robusta
32.6,NA,NA,42.5,-122,Temperate,Catostomus snyderi,GBIF:2359035,Catostomus snyderi,Chordata,Cypriniformes,Actinopterygii,Catostomidae,Catostomus,snyderi
34.5,5.3,12,34,-120.8,Temperate,Girella nigricans,GBIF:2381219,Girella nigricans,Chordata,Perciformes,Actinopterygii,Kyphosidae,Girella,nigricans
34.6,NA,10,34.4,-118.5,Temperate,Gasterosteus aculeatus,GBIF:4286327,Gasterosteus aculeatus,Chordata,Gasterosteiformes,Actinopterygii,Gasterosteidae,Gasterosteus,aculeatus
32.3,NA,6,36,-94,Temperate,Notropis pilsbryi,GBIF:2366961,Notropis pilsbryi,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Luxilus,pilsbryi
32.5,1.5,NA,40,-74,Temperate,Menidia menidia,GBIF:2412304,Menidia menidia,Chordata,Atheriniformes,Actinopterygii,Atherinopsidae,Menidia,menidia
32.2,NA,NA,43,-78.5,Temperate,Etheostoma blennioides,GBIF:2382397,Etheostoma blennioides,Chordata,Perciformes,Actinopterygii,Percidae,Etheostoma,blennioides
29.4,NA,NA,33.9,-110.2,Temperate,Oncorhynchus apache,GBIF:5204012,Oncorhynchus apache,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Oncorhynchus,apache
29.8,NA,NA,34.2,-96.6,Temperate,Campostoma anomalum,GBIF:2361357,Campostoma anomalum,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Campostoma,anomalum
31.32,NA,NA,34.2,-96.6,Temperate,Ictalurus punctatus,GBIF:5202520,Ictalurus punctatus,Chordata,Siluriformes,Actinopterygii,Ictaluridae,Ictalurus,punctatus
30.87,NA,NA,34.2,-96.6,Temperate,Lepomis megalotis,GBIF:2394510,Lepomis megalotis,Chordata,Perciformes,Actinopterygii,Centrarchidae,Lepomis,megalotis
30.76,NA,NA,34.2,-96.6,Temperate,Micropterus punctulatus,GBIF:5211245,Micropterus punctulatus,Chordata,Perciformes,Actinopterygii,Centrarchidae,Micropterus,punctulatus
30.45,NA,NA,34.2,-96.6,Temperate,Phenacobius mirabilis,GBIF:2363799,Phenacobius mirabilis,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Phenacobius,mirabilis
34.1,NA,18,38,-9,Temperate,Gobius niger,GBIF:2375526,Gobius niger,Chordata,Perciformes,Actinopterygii,Gobiidae,Gobius,niger
33.8,NA,9,38,-9,Temperate,Lipophrys trigloides,GBIF:2395404,Lipophrys trigloides,Chordata,Perciformes,Actinopterygii,Blenniidae,Lipophrys,trigloides
29,NA,NA,33.5,-82,Temperate,Notropis cummingsae,GBIF:2362208,Notropis cummingsae,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,cummingsae
37,NA,10,40,-83,Temperate,Ericymba buccata,GBIF:2362253,Ericymba buccata,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,buccata
39.3,NA,10,32,-97,Temperate,Pimephales vigilax,GBIF:2367733,Pimephales vigilax,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Pimephales,vigilax
37.9,NA,7,39.5,-91.5,Temperate,Ameiurus natalis,GBIF:2340969,Ameiurus natalis,Chordata,Siluriformes,Actinopterygii,Ictaluridae,Ameiurus,natalis
36.4,NA,7,39.5,-91.5,Temperate,Etheostoma nigrum,GBIF:2382319,Etheostoma nigrum,Chordata,Perciformes,Actinopterygii,Percidae,Etheostoma,nigrum
36,NA,8,39,-93,Temperate,Labidesthes sicculus,GBIF:2412271,Labidesthes sicculus,Chordata,Atheriniformes,Actinopterygii,Atherinopsidae,Labidesthes,sicculus
36.2,NA,12,39,-93,Temperate,Lythrurus umbratilis,GBIF:2366052,Lythrurus umbratilis,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Lythrurus,umbratilis
35.3,NA,7,39,-93,Temperate,Notropis rubellus,GBIF:2362326,Notropis rubellus,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Notropis,rubellus
36.5,NA,8,39.5,-91.5,Temperate,Pimephales promelas,GBIF:2367742,Pimephales promelas,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Pimephales,promelas
30,6,NA,34.9,138.6,Temperate,Sardinops melanosticta,GBIF:2412583,Sardinops melanosticta,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Sardinops,melanosticta
26.7,NA,45,54.5,10.2,Temperate,Zoarces viviparus,GBIF:2381013,Zoarces viviparus,Chordata,Perciformes,Actinopterygii,Zoarcidae,Zoarces,viviparus
21.1,NA,20,45.09,-66.96,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus
39.3,NA,NA,33,-120,Temperate,Gillichthys mirabilis,GBIF:2378639,Gillichthys mirabilis,Chordata,Perciformes,Actinopterygii,Gobiidae,Gillichthys,mirabilis
31.2,NA,NA,45,13,Temperate,Scorpaena porcus,GBIF:2334600,Scorpaena porcus,Chordata,Scorpaeniformes,Actinopterygii,Scorpaenidae,Scorpaena,porcus
