input_name,db,acc_id,acc_name,kingdom,phylum,order,class,family,genus,syn_id,syn_name
Cyprinodon dearborni,gbif,GBIF:2347924,Cyprinodon dearborni,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Cyprinodontidae,Cyprinodon,NA,NA
Cyprinodon artifrons,gbif,GBIF:2347932,Cyprinodon artifrons,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Cyprinodontidae,Cyprinodon,NA,NA
Floridichthys carpio,gbif,GBIF:2348017,Floridichthys carpio,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Cyprinodontidae,Floridichthys,NA,NA
Gambusia yucatana,gbif,GBIF:2350647,Gambusia yucatana,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Poeciliidae,Gambusia,NA,NA
Apogon dovii,gbif,GBIF:7977144,Apogon dovii,Animalia,Chordata,Perciformes,Actinopterygii,Apogonidae,Apogon,NA,NA
Bathygobius ramosus,gbif,GBIF:2377072,Bathygobius ramosus,Animalia,Chordata,Perciformes,Actinopterygii,Gobiidae,Bathygobius,NA,NA
Chromis atrilobata,gbif,GBIF:5212245,Chromis atrilobata,Animalia,Chordata,Perciformes,Actinopterygii,Pomacentridae,Chromis,NA,NA
Cirrhitichthys oxycephalus,gbif,GBIF:2375154,Cirrhitichthys oxycephalus,Animalia,Chordata,Perciformes,Actinopterygii,Cirrhitidae,Cirrhitichthys,NA,NA
Coryphopterus urospilus,gbif,GBIF:2377817,Coryphopterus urospilus,Animalia,Chordata,Perciformes,Actinopterygii,Gobiidae,Coryphopterus,NA,NA
Eucinostomus gracilis,gbif,GBIF:2369476,Eucinostomus gracilis,Animalia,Chordata,Perciformes,Actinopterygii,Gerreidae,Eucinostomus,NA,NA
Haemulon steindachneri,gbif,GBIF:2382546,Haemulon steindachneri,Animalia,Chordata,Perciformes,Actinopterygii,Haemulidae,Haemulon,NA,NA
Halichoeres dispilus,gbif,GBIF:2384231,Halichoeres dispilus,Animalia,Chordata,Perciformes,Actinopterygii,Labridae,Halichoeres,NA,NA
Lutjanus guttatus,gbif,GBIF:2385124,Lutjanus guttatus,Animalia,Chordata,Perciformes,Actinopterygii,Lutjanidae,Lutjanus,NA,NA
Malacoctenus zonifer,gbif,GBIF:2389494,Malacoctenus zonifer,Animalia,Chordata,Perciformes,Actinopterygii,Labrisomidae,Malacoctenus,NA,NA
Mugil curema,gbif,GBIF:2400641,Mugil curema,Animalia,Chordata,Mugiliformes,Actinopterygii,Mugilidae,Mugil,NA,NA
Plagiotremus azaleus,gbif,GBIF:2395978,Plagiotremus azaleus,Animalia,Chordata,Perciformes,Actinopterygii,Blenniidae,Plagiotremus,NA,NA
Stegastes acapulcoensis,gbif,GBIF:2398815,Stegastes acapulcoensis,Animalia,Chordata,Perciformes,Actinopterygii,Pomacentridae,Stegastes,NA,NA
Thalassoma lucasanum,gbif,GBIF:2384480,Thalassoma lucasanum,Animalia,Chordata,Perciformes,Actinopterygii,Labridae,Thalassoma,NA,NA
Abudefduf saxatilis,gbif,GBIF:2398623,Abudefduf saxatilis,Animalia,Chordata,Perciformes,Actinopterygii,Pomacentridae,Abudefduf,NA,NA
Brachyrhaphis episcopi,gbif,GBIF:2350299,Brachyrhaphis episcopi,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Poeciliidae,Brachyrhaphis,NA,NA
Gambusia nicaraguensis,gbif,GBIF:2350615,Gambusia nicaraguensis,Animalia,Chordata,Cyprinodontiformes,Actinopterygii,Poeciliidae,Gambusia,NA,NA
Haemulon bonariense,gbif,GBIF:2382533,Haemulon bonariense,Animalia,Chordata,Perciformes,Actinopterygii,Haemulidae,Haemulon,NA,NA
Lutjanus apodus,gbif,GBIF:2384922,Lutjanus apodus,Animalia,Chordata,Perciformes,Actinopterygii,Lutjanidae,Lutjanus,NA,NA
Kuhlia sandvicensis,gbif,GBIF:5208679,Kuhlia sandvicensis,Animalia,Chordata,Perciformes,Actinopterygii,Kuhliidae,Kuhlia,NA,NA
Craugastor fleischmanni,gbif,GBIF:2430594,Craugastor fleischmanni,Animalia,Chordata,Anura,Amphibia,Craugastoridae,Craugastor,NA,NA
Dendrobates auratus,gbif,GBIF:5218022,Dendrobates auratus,Animalia,Chordata,Anura,Amphibia,Dendrobatidae,Dendrobates,NA,NA
Tlalocohyla smithii,gbif,GBIF:2428273,Tlalocohyla smithii,Animalia,Chordata,Anura,Amphibia,Hylidae,Tlalocohyla,NA,NA
Anaxyrus compactilis,gbif,GBIF:2422903,Anaxyrus compactilis,Animalia,Chordata,Anura,Amphibia,Bufonidae,Anaxyrus,NA,NA
Eleutherodactylus coqui,gbif,GBIF:2424091,Eleutherodactylus coqui,Animalia,Chordata,Anura,Amphibia,Eleutherodactylidae,Eleutherodactylus,NA,NA
Hylarana erythraea,gbif,GBIF:2426893,Hylarana erythraea,Animalia,Chordata,Anura,Amphibia,Ranidae,Hylarana,NA,NA
Kaloula kalingensis,gbif,GBIF:2421648,Kaloula kalingensis,Animalia,Chordata,Anura,Amphibia,Microhylidae,Kaloula,NA,NA
Limnonectes woodworthi,gbif,GBIF:2430496,Limnonectes woodworthi,Animalia,Chordata,Anura,Amphibia,Dicroglossidae,Limnonectes,NA,NA
Occidozyga laevis,gbif,GBIF:2430329,Occidozyga laevis,Animalia,Chordata,Anura,Amphibia,Dicroglossidae,Occidozyga,NA,NA
Philautus surdus,gbif,GBIF:2423736,Philautus surdus,Animalia,Chordata,Anura,Amphibia,Rhacophoridae,Philautus,NA,NA
Platymantis banahao,gbif,GBIF:2421546,Platymantis banahao,Animalia,Chordata,Anura,Amphibia,Ceratobatrachidae,Platymantis,NA,NA
Platymantis corrugatus,gbif,GBIF:2421471,Platymantis corrugatus,Animalia,Chordata,Anura,Amphibia,Ceratobatrachidae,Platymantis,NA,NA
Platymantis dorsalis,gbif,GBIF:2421447,Platymantis dorsalis,Animalia,Chordata,Anura,Amphibia,Ceratobatrachidae,Platymantis,NA,NA
