tmax,tmin,n,lat,long,region,th_genus_species,sp_id,input_name,phylum,order,class,family,genus,species
35.7,15,NA,18,-64.5,Tropical,Cyprinodon dearborni,GBIF:2347924,Cyprinodon dearborni,Chordata,Cyprinodontiformes,Actinopterygii,Cyprinodontidae,Cyprinodon,dearborni
42.2,NA,7,16.8,-88.1,Tropical,Gambusia yucatana,GBIF:2350647,Gambusia yucatana,Chordata,Cyprinodontiformes,Actinopterygii,Poeciliidae,Gambusia,yucatana
39.6,11.9,NA,2.96,-78.2,Tropical,Bathygobius ramosus,GBIF:2377072,Bathygobius ramosus,Chordata,Perciformes,Actinopterygii,Gobiidae,Bathygobius,ramosus
38,12.4,NA,2.96,-78.2,Tropical,Eucinostomus gracilis,GBIF:2369476,Eucinostomus gracilis,Chordata,Perciformes,Actinopterygii,Gerreidae,Eucinostomus,gracilis
38.2,12.5,NA,2.96,-78.2,Tropical,Malacoctenus zonifer,GBIF:2389494,Malacoctenus zonifer,Chordata,Perciformes,Actinopterygii,Labrisomidae,Malacoctenus,zonifer
36,16.3,NA,2.96,-78.2,Tropical,Thalassoma lucasanum,GBIF:2384480,Thalassoma lucasanum,Chordata,Perciformes,Actinopterygii,Labridae,Thalassoma,lucasanum
40,15,8,9.5,-78,Tropical,Haemulon bonariense,GBIF:2382533,Haemulon bonariense,Chordata,Perciformes,Actinopterygii,Haemulidae,Haemulon,bonariense
41.8,11,55,9,-79.5,Tropical,Bufo marinus,GBIF:5216933,Bufo marinus,Chordata,Anura,Amphibia,Bufonidae,Rhinella,marinus
38.1,-2.2,55,16.75,-92.63,Tropical,Hyla walkeri,GBIF:10868868,Hyla walkeri,Chordata,Anura,Amphibia,Hylidae,Dryophytes,walkeri
42.5,5,55,22,-104.8,Tropical,Tlalocohyla smithii,GBIF:2428273,Tlalocohyla smithii,Chordata,Anura,Amphibia,Hylidae,Tlalocohyla,smithii
34.8,NA,NA,14.09,121.49,Tropical,Hylarana erythraea,GBIF:2426893,Hylarana erythraea,Chordata,Anura,Amphibia,Ranidae,Hylarana,erythraea
35.3,NA,NA,14.09,121.49,Tropical,Occidozyga laevis,GBIF:2430329,Occidozyga laevis,Chordata,Anura,Amphibia,Dicroglossidae,Occidozyga,laevis
32.9,NA,NA,14.09,121.49,Tropical,Platymantis dorsalis,GBIF:2421447,Platymantis dorsalis,Chordata,Anura,Amphibia,Ceratobatrachidae,Platymantis,dorsalis
NA,8,55,9.15,-79.85,Tropical,Craugastor fitzingeri,GBIF:2430621,Craugastor fitzingeri,Chordata,Anura,Amphibia,Craugastoridae,Craugastor,fitzingeri
NA,7.5,55,15,-90.6,Tropical,Scinax staufferi,GBIF:5217933,Scinax staufferi,Chordata,Anura,Amphibia,Hylidae,Scinax,staufferi
31,23,2,9.34,-66.08,Tropical,Aulacorhynchus sulcatus,GBIF:5229028,Aulacorhynchus sulcatus,Chordata,Piciformes,Aves,Ramphastidae,Aulacorhynchus,sulcatus
29,20,5,18.23,-77.62,Tropical,Trochilus scitulus,GBIF:5228505,Trochilus scitulus,Chordata,Apodiformes,Aves,Trochilidae,Trochilus,scitulus
39,30,8,4.53,114.56,Tropical,Lonchura fuscans,GBIF:2493619,Lonchura fuscans,Chordata,Passeriformes,Aves,Estrildidae,Lonchura,fuscans
NA,23,2,23.38,-101.37,Tropical,Aulacorhynchus prasinus,GBIF:5229012,Aulacorhynchus prasinus,Chordata,Piciformes,Aves,Ramphastidae,Aulacorhynchus,prasinus
NA,25,3,0.27,30.26,Tropical,Nectarinia kilimensis,GBIF:5229993,Nectarinia kilimensis,Chordata,Passeriformes,Aves,Nectariniidae,Nectarinia,kilimensis
45.25,NA,NA,4.05,114.81,Tropical,Anoplolepis gracilipes,GBIF:1317433,Anoplolepis gracilipes,Arthropoda,Hymenoptera,Insecta,Formicidae,Anoplolepis,gracilipes
45.63,NA,NA,4.05,114.81,Tropical,Dolichoderus beccarii,GBIF:5034989,Dolichoderus beccarii,Arthropoda,Hymenoptera,Insecta,Formicidae,Dolichoderus,beccarii
42,NA,NA,4.05,114.81,Tropical,Pachycondyla tridentata,GBIF:1319948,Pachycondyla tridentata,Arthropoda,Hymenoptera,Insecta,Formicidae,Pachycondyla,tridentata
45.6,NA,14,9.16,-79.83,Tropical,Erythemis credula,GBIF:1429337,Erythemis credula,Arthropoda,Odonata,Insecta,Libellulidae,Erythemis,credula
44.7,NA,14,9.16,-79.83,Tropical,Micrathyria eximia,GBIF:1427609,Micrathyria eximia,Arthropoda,Odonata,Insecta,Libellulidae,Micrathyria,eximia
46.3,NA,10,9.16,-79.83,Tropical,Tramea walkeri,GBIF:1428506,Tramea walkeri,Arthropoda,Odonata,Insecta,Libellulidae,Tramea,walkeri
NA,-18,13,20.15,-155.49,Tropical,Nysius wekiuicola,GBIF:2007772,Nysius wekiuicola,Arthropoda,Hemiptera,Insecta,Lygaeidae,Nysius,wekiuicola
35.7,NA,8,9.16,-79.84,Tropical,Anolis frenatus,GBIF:2467445,Anolis frenatus,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,frenatus
41.8,NA,6,18.37,-114.74,Tropical,Urosaurus clarionensis,GBIF:2451544,Urosaurus clarionensis,Chordata,Squamata,Reptilia,Phrynosomatidae,Urosaurus,clarionensis
38.9,NA,9,18.27,-65.91,Tropical,Anolis evermanni,GBIF:9424209,Anolis evermanni,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,evermanni
40.5,NA,NA,19.12,-70.63,Tropical,Anolis marcanoi,GBIF:2467336,Anolis marcanoi,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,marcanoi
35.9,NA,7,14.64,-61.02,Tropical,Anolis roquet,GBIF:2467197,Anolis roquet,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,roquet
35.7,6.3,10,18.29,-66.79,Tropical,Anolis gundlachi,GBIF:2467411,Anolis gundlachi,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,gundlachi
36.3,10.4,NA,18.37,-65.72,Tropical,Sphaerodactylus klauberi,GBIF:2445297,Sphaerodactylus klauberi,Chordata,Squamata,Reptilia,Sphaerodactylidae,Sphaerodactylus,klauberi
42.1,11.4,NA,18.33,-65.65,Tropical,Sphaerodactylus townsendi,GBIF:2445401,Sphaerodactylus townsendi,Chordata,Squamata,Reptilia,Sphaerodactylidae,Sphaerodactylus,townsendi
34.6,NA,NA,14.09,121.49,Tropical,Cyrtodactylus philippinicus,GBIF:5960166,Cyrtodactylus philippinicus,Chordata,Squamata,Reptilia,Gekkonidae,Cyrtodactylus,philippinicus
37,NA,NA,14.09,121.49,Tropical,Pinoyscincus jagori,GBIF:7744369,Pinoyscincus jagori,Chordata,Squamata,Reptilia,Scincidae,Pinoyscincus,jagori
37.3,12.9,9,10.42,-84.02,Tropical,Anolis lemurinus,GBIF:8186516,Anolis lemurinus,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,lemurinus
43.7,15.5,20,10.5,-84,Tropical,Ameiva festiva,GBIF:7836710,Ameiva festiva,Chordata,Squamata,Reptilia,Teiidae,Holcosus,festiva
NA,6.1,23,20.25,-103,Tropical,Thamnophis melanogaster,GBIF:2457500,Thamnophis melanogaster,Chordata,Squamata,Reptilia,Colubridae,Thamnophis,melanogaster
40,NA,8,9.5,-78,Tropical,Armases ricordi,GBIF:2225745,Armases ricordi,Arthropoda,Decapoda,Malacostraca,Sesarmidae,Armases,ricordi
37,31.5,9,11.47,-70.14,Tropical,Glossophaga longirostris,GBIF:2433192,Glossophaga longirostris,Chordata,Chiroptera,Mammalia,Phyllostomidae,Glossophaga,longirostris
35,28,27,11.47,-70.14,Tropical,Natalus tumidirostris,GBIF:2432753,Natalus tumidirostris,Chordata,Chiroptera,Mammalia,Natalidae,Natalus,tumidirostris
33.4,29.2,12,8.7,-71.4,Tropical,Myotis keaysi,GBIF:2432420,Myotis keaysi,Chordata,Chiroptera,Mammalia,Vespertilionidae,Myotis,keaysi
35,26.36,4,9.08,-79.42,Tropical,Caluromys derbianus,GBIF:2439992,Caluromys derbianus,Chordata,Didelphimorphia,Mammalia,Didelphidae,Caluromys,derbianus
34.5,26.74,5,15.52,100.59,Tropical,Cannomys badius,GBIF:2438494,Cannomys badius,Chordata,Rodentia,Mammalia,Spalacidae,Cannomys,badius
32,29,7,3.86,114.43,Tropical,Hipposideros galeritus,GBIF:5218606,Hipposideros galeritus,Chordata,Chiroptera,Mammalia,Hipposideridae,Hipposideros,galeritus
37,24,1,21.07384,-80.0668,Tropical,Capromys pilorides,GBIF:2437653,Capromys pilorides,Chordata,Rodentia,Mammalia,Capromyidae,Capromys,pilorides
35,31,39,18.39,-67.15,Tropical,Monophyllus redmani,GBIF:2433240,Monophyllus redmani,Chordata,Chiroptera,Mammalia,Phyllostomidae,Monophyllus,redmani
35,27.5,6,23.07,104.03,Tropical,Nycticebus pygmaeus,GBIF:2436628,Nycticebus pygmaeus,Chordata,Primates,Mammalia,Lorisidae,Nycticebus,pygmaeus
NA,30.5,15,11.47,-70.14,Tropical,Leptonycteris curasoae,GBIF:2433316,Leptonycteris curasoae,Chordata,Chiroptera,Mammalia,Phyllostomidae,Leptonycteris,curasoae
NA,34,12,10.1,-63.3,Tropical,Pteronotus personatus,GBIF:5218619,Pteronotus personatus,Chordata,Chiroptera,Mammalia,Mormoopidae,Pteronotus,personatus
NA,28.76,2,10.42,-70.57,Tropical,Monodelphis brevicaudata,GBIF:2439971,Monodelphis brevicaudata,Chordata,Didelphimorphia,Mammalia,Didelphidae,Monodelphis,brevicaudata
NA,19,3,9.1,-79.7,Tropical,Tamandua mexicana,GBIF:2436335,Tamandua mexicana,Chordata,Pilosa,Mammalia,Myrmecophagidae,Tamandua,mexicana
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
NA,30,52,18.39,-67.15,Tropical,Mormoops blainvillei,GBIF:4265453,Mormoops blainvillei,Chordata,Chiroptera,Mammalia,Mormoopidae,Mormoops,blainvillei
