STUDY_ID,ABUNDANCE,BIOMAS,YEAR,LATITUDE,LONGITUDE,PLOT,DEPTH,SAMPLE_DESC,GENUS_SPECIES
45,1,22.4,2006,-17.500000,-149.000000,1,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_1_Swath_5_m_12_7_2006,"Abudefduf septemfasciatus"
45,2,60.3,2006,-17.500000,-149.000000,1,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_1_Swath_5_m_12_7_2006,"Abudefduf septemfasciatus"
45,1,22.4,2006,-17.500000,-149.000000,4,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_4_Swath_5_m_12_7_2006,"Abudefduf septemfasciatus"
45,1,30.1,2006,-17.500000,-149.000000,1,0,-17.5_-149_LTER_3_Backreef_Fish_Transect_1_Swath_5_m_16_7_2006,"Abudefduf septemfasciatus"
45,1,140.9,2006,-17.500000,-149.000000,2,0,-17.5_-149_LTER_6_Fringing_Reef_Fish_Transect_2_Swath_5_m_12_7_2006,"Abudefduf septemfasciatus"
45,1,196,2007,-17.500000,-149.000000,1,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_1_Swath_5_m_16_7_2007,"Abudefduf septemfasciatus"
45,3,152.5,2007,-17.500000,-149.000000,2,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_2_Swath_5_m_16_7_2007,"Abudefduf septemfasciatus"
45,1,64.1,2007,-17.500000,-149.000000,4,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_4_Swath_5_m_16_7_2007,"Abudefduf septemfasciatus"
45,1,79.6,2007,-17.500000,-149.000000,1,0,-17.5_-149_LTER_6_Backreef_Fish_Transect_1_Swath_1_m_12_7_2007,"Abudefduf septemfasciatus"
45,1,64.1,2009,-17.500000,-149.000000,1,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_1_Swath_5_m_3_8_2009,"Abudefduf septemfasciatus"
45,1,117.8,2009,-17.500000,-149.000000,2,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_2_Swath_5_m_3_8_2009,"Abudefduf septemfasciatus"
45,1,97.4,2009,-17.500000,-149.000000,2,0,-17.5_-149_LTER_5_Backreef_Fish_Transect_2_Swath_5_m_2_8_2009,"Abudefduf septemfasciatus"
45,1,79.6,2009,-17.500000,-149.000000,2,0,-17.5_-149_LTER_6_Backreef_Fish_Transect_2_Swath_5_m_2_8_2009,"Abudefduf septemfasciatus"
45,1,50.8,2010,-17.500000,-149.000000,2,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_2_Swath_5_m_3_8_2010,"Abudefduf septemfasciatus"
45,1,140.9,2010,-17.500000,-149.000000,1,0,-17.5_-149_LTER_3_Backreef_Fish_Transect_1_Swath_5_m_1_8_2010,"Abudefduf septemfasciatus"
45,1,64.1,2010,-17.500000,-149.000000,2,0,-17.5_-149_LTER_5_Backreef_Fish_Transect_2_Swath_5_m_2_8_2010,"Abudefduf septemfasciatus"
45,1,39.6,2010,-17.500000,-149.000000,4,0,-17.5_-149_LTER_5_Backreef_Fish_Transect_4_Swath_5_m_2_8_2010,"Abudefduf septemfasciatus"
45,2,159.2,2010,-17.500000,-149.000000,1,0,-17.5_-149_LTER_6_Backreef_Fish_Transect_1_Swath_5_m_2_8_2010,"Abudefduf septemfasciatus"
45,1,39.6,2010,-17.500000,-149.000000,2,0,-17.5_-149_LTER_6_Backreef_Fish_Transect_2_Swath_5_m_2_8_2010,"Abudefduf septemfasciatus"
45,1,30.1,2011,-17.500000,-149.000000,2,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_2_Swath_5_m_29_7_2011,"Abudefduf septemfasciatus"
45,3,67.1,2011,-17.500000,-149.000000,4,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_4_Swath_5_m_29_7_2011,"Abudefduf septemfasciatus"
45,1,39.6,2011,-17.500000,-149.000000,4,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_4_Swath_5_m_29_7_2011,"Abudefduf septemfasciatus"
45,1,64.1,2011,-17.500000,-149.000000,1,0,-17.5_-149_LTER_3_Backreef_Fish_Transect_1_Swath_5_m_31_7_2011,"Abudefduf septemfasciatus"
45,3,134.9,2011,-17.500000,-149.000000,2,0,-17.5_-149_LTER_3_Backreef_Fish_Transect_2_Swath_5_m_31_7_2011,"Abudefduf septemfasciatus"
45,1,64.1,2011,-17.500000,-149.000000,1,0,-17.5_-149_LTER_6_Backreef_Fish_Transect_1_Swath_5_m_1_8_2011,"Abudefduf septemfasciatus"
45,1,30.1,2011,-17.500000,-149.000000,2,0,-17.5_-149_LTER_6_Backreef_Fish_Transect_2_Swath_5_m_1_8_2011,"Abudefduf septemfasciatus"
45,1,22.4,2011,-17.500000,-149.000000,4,0,-17.5_-149_LTER_6_Backreef_Fish_Transect_4_Swath_5_m_1_8_2011,"Abudefduf septemfasciatus"
45,1,79.6,2012,-17.500000,-149.000000,1,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_1_Swath_5_m_1_8_2012,"Abudefduf septemfasciatus"
45,2,79.1,2012,-17.500000,-149.000000,2,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_2_Swath_5_m_1_8_2012,"Abudefduf septemfasciatus"
45,3,67.1,2012,-17.500000,-149.000000,4,0,-17.5_-149_LTER_1_Backreef_Fish_Transect_4_Swath_5_m_1_8_2012,"Abudefduf septemfasciatus"
45,1,50.8,2012,-17.500000,-149.000000,2,0,-17.5_-149_LTER_2_Fringing_Reef_Fish_Transect_2_Swath_5_m_1_8_2012,"Abudefduf septemfasciatus"
45,1,34.6,2012,-17.500000,-149.000000,2,0,-17.5_-149_LTER_3_Backreef_Fish_Transect_2_Swath_5_m_27_7_2012,"Abudefduf septemfasciatus"
45,3,292.3,2012,-17.500000,-149.000000,1,0,-17.5_-149_LTER_5_Backreef_Fish_Transect_1_Swath_5_m_31_7_2012,"Abudefduf septemfasciatus"
